manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,age_categories,year,day,month
shot,gun,53.0,M,A,Shelton,WA,True,attack,Not fleeing,False,Senior Citizen,2015,2,1
shot,gun,47.0,M,W,Aloha,OR,False,attack,Not fleeing,False,Adult,2015,2,1
shot and Tasered,unarmed,23.0,M,H,Wichita,KS,False,other,Not fleeing,False,Youth,2015,3,1
shot,toy weapon,32.0,M,W,San Francisco,CA,True,attack,Not fleeing,False,Youth,2015,4,1
shot,nail gun,39.0,M,H,Evans,CO,False,attack,Not fleeing,False,Adult,2015,4,1
shot,gun,18.0,M,W,Guthrie,OK,False,attack,Not fleeing,False,Teenage,2015,4,1
shot,gun,22.0,M,H,Chandler,AZ,False,attack,Car,False,Youth,2015,5,1
shot,gun,35.0,M,W,Assaria,KS,False,attack,Not fleeing,False,Adult,2015,6,1
shot,unarmed,34.0,F,W,Burlington,IA,False,other,Not fleeing,True,Youth,2015,6,1
shot,toy weapon,47.0,M,B,Knoxville,PA,False,attack,Not fleeing,False,Adult,2015,6,1
shot and Tasered,knife,25.0,M,W,Stockton,CA,False,attack,Not fleeing,False,Youth,2015,6,1
shot,gun,31.0,M,B,Freeport,TX,False,attack,Not fleeing,False,Youth,2015,7,1
shot,knife,41.0,M,B,Columbus,OH,True,other,Not fleeing,False,Adult,2015,7,1
shot,gun,30.0,M,W,Des Moines,IA,False,attack,Car,False,Youth,2015,7,1
shot,gun,37.0,M,B,New Orleans,LA,False,attack,Foot,True,Adult,2015,7,1
shot,undetermined,28.0,M,W,Huntley,MT,False,undetermined,Not fleeing,False,Youth,2015,8,1
shot,shovel,42.0,M,W,Salt Lake City,UT,False,attack,Not fleeing,True,Adult,2015,8,1
shot,unarmed,36.0,M,B,Strong,AR,False,attack,Not fleeing,False,Adult,2015,8,1
shot,gun,49.0,M,W,Syracuse,UT,False,attack,Not fleeing,True,Adult,2015,8,1
shot,gun,71.0,M,W,England,AR,False,attack,Not fleeing,False,Senior Citizen,2015,9,1
shot,gun,33.0,M,H,El Paso,TX,False,attack,Not fleeing,False,Youth,2015,9,1
shot,gun,39.0,M,W,Arcola,IL,True,attack,Not fleeing,False,Adult,2015,11,1
shot,gun,23.0,M,H,South Gate,CA,False,attack,Not fleeing,False,Youth,2015,11,1
shot and Tasered,gun,29.0,M,H,North Las Vegas,NV,False,attack,Foot,False,Youth,2015,11,1
shot,gun,34.0,M,W,Albuquerque,NM,False,attack,Foot,True,Youth,2015,13,1
shot,knife,43.0,M,W,Jourdanton,TX,True,other,Not fleeing,False,Adult,2015,13,1
shot,undetermined,24.0,M,B,St. Paul,MN,False,attack,Not fleeing,False,Youth,2015,14,1
shot,undetermined,29.0,M,W,Franklin County,MO,False,attack,Not fleeing,False,Youth,2015,14,1
shot,gun,34.0,M,B,Chesapeake,VA,True,attack,Not fleeing,False,Youth,2015,14,1
shot,knife,72.0,M,W,Old Bridge,NJ,False,attack,Not fleeing,False,Senior Citizen,2015,14,1
shot,gun,68.0,M,W,Lake Jackson,TX,False,attack,Not fleeing,False,Senior Citizen,2015,14,1
shot,knife,34.0,M,W,Draper,UT,False,attack,Not fleeing,True,Youth,2015,14,1
shot,gun,27.0,M,B,Indianapolis,IN,False,attack,Foot,False,Youth,2015,15,1
shot,gun,39.0,M,B,Aurora,CO,False,attack,Not fleeing,False,Adult,2015,15,1
shot,gun,24.0,M,W,Bloomington,MN,True,attack,Not fleeing,False,Youth,2015,15,1
shot,knife,36.0,M,H,Fairfield,CA,True,other,Not fleeing,False,Adult,2015,15,1
shot,gun,33.0,M,W,Evangeline Parish,LA,False,attack,Not fleeing,False,Youth,2015,15,1
shot,gun,41.0,M,W,Mabank,TX,False,attack,Car,False,Adult,2015,16,1
shot and Tasered,knife,48.0,M,O,Fremont,CA,False,other,Not fleeing,False,Adult,2015,16,1
shot,gun,21.0,M,B,Muskogee,OK,False,attack,Foot,True,Teenage,2015,17,1
shot,gun,24.0,M,H,Los Angeles,CA,False,attack,Not fleeing,False,Youth,2015,17,1
shot,knife,27.0,M,H,Fort Worth,TX,False,attack,Not fleeing,False,Youth,2015,17,1
shot,gun,32.0,M,W,Maricopa,AZ,True,attack,Not fleeing,False,Youth,2015,18,1
shot and Tasered,gun,67.0,M,W,Gunlock,KY,True,attack,Not fleeing,False,Senior Citizen,2015,18,1
shot,knife,49.0,M,W,Weymouth,MA,False,attack,Not fleeing,False,Adult,2015,19,1
shot,undetermined,42.0,M,B,Scottsdale,AZ,False,other,Car,False,Adult,2015,20,1
shot,gun,36.0,M,W,Hemet,CA,False,attack,Not fleeing,False,Adult,2015,21,1
shot,gun,36.0,M,H,Chapeno,TX,False,attack,Foot,False,Adult,2015,21,1
shot,gun,19.0,M,B,St. Louis,MO,False,attack,Not fleeing,False,Teenage,2015,21,1
shot,gun,54.0,M,W,Derry,NH,True,attack,Not fleeing,False,Senior Citizen,2015,21,1
shot,toy weapon,25.0,M,B,Sierra Blanca,TX,False,attack,Car,False,Youth,2015,22,1
shot and Tasered,knife,17.0,F,W,Longview,TX,True,other,Not fleeing,False,Teenage,2015,22,1
shot,gun,61.0,M,W,Austin,TX,True,attack,Not fleeing,False,Senior Citizen,2015,23,1
shot,undetermined,29.0,M,B,Fort Lauderdale,FL,False,other,Not fleeing,False,Youth,2015,23,1
shot,knife,56.0,M,H,Levelland,TX,False,other,Not fleeing,False,Senior Citizen,2015,23,1
shot,gun,40.0,M,W,Fort Worth,TX,False,attack,Not fleeing,False,Adult,2015,24,1
